Condition,Case,Diameter,Year,Month,Reference,Consumption,Label
1,1,0.5,9,1,764.0,13.0,NO
2,1,0.5,9,1,576.0,15.0,NO
131,2,0.5,9,1,0.0,32.0,YES
131,3,0.5,9,1,23.0,11.0,YES
131,4,0.5,9,1,543.0,0.0,YES
2,2,0.5,9,1,702.0,5.0,NO
2,3,0.5,9,1,1165.0,5.0,NO
2,4,0.5,9,1,1299.0,2.0,NO
2,5,0.5,9,1,1448.0,18.0,NO
2,6,0.5,9,1,2120.0,12.0,NO
2,7,0.5,9,1,3095.0,13.0,NO
3,1,0.5,9,1,6492.0,25.0,NO
4,1,0.5,9,1,42.0,0.0,NO
4,2,0.5,9,1,472.0,43.0,NO
4,3,0.5,9,1,784.0,17.0,NO
4,4,0.5,9,1,811.0,1.0,NO
4,5,0.5,9,1,875.0,2.0,NO
4,6,0.5,9,1,1107.0,18.0,NO
4,7,0.5,9,1,1170.0,15.0,NO
4,8,0.5,9,1,1209.0,5.0,NO
4,9,0.5,9,1,1430.0,0.0,NO
4,10,0.5,9,1,1498.0,18.0,NO
4,11,0.5,9,1,1717.0,12.0,NO
4,12,0.5,9,1,2209.0,20.0,NO
4,13,0.5,9,1,5368.0,24.0,NO
5,1,0.5,9,1,0.0,10.0,NO
5,2,0.5,9,1,2.0,10.0,NO
5,3,0.5,9,1,20.0,0.0,NO
5,4,0.5,9,1,67.0,7.0,NO
5,5,0.5,9,1,99.0,4.0,NO
5,6,0.5,9,1,204.0,10.0,NO
5,7,0.5,9,1,225.0,10.0,NO
5,8,0.5,9,1,263.0,10.0,NO
5,9,0.5,9,1,278.0,10.0,NO
5,10,0.5,9,1,294.0,10.0,NO
5,11,0.5,9,1,304.0,22.0,NO
5,12,0.5,9,1,324.0,10.0,NO
5,13,0.5,9,1,327.0,30.0,NO
5,14,0.5,9,1,355.0,10.0,NO
5,15,0.5,9,1,418.0,10.0,NO
5,16,0.5,9,1,498.0,10.0,NO
5,17,0.5,9,1,518.0,10.0,NO
5,18,0.5,9,1,795.0,10.0,NO
5,19,0.5,9,1,998.0,10.0,NO
5,20,0.5,9,1,1147.0,30.0,NO
6,1,0.5,9,1,7556.0,68.0,NO
7,1,0.5,9,1,339.0,2.0,NO
8,1,0.5,9,1,44.0,0.0,NO
8,2,0.5,9,1,608.0,0.0,NO
8,3,0.5,9,1,608.0,18.0,NO
8,4,0.5,9,1,608.0,20.0,NO
9,1,0.5,9,1,4.0,0.0,NO
9,2,0.5,9,1,29.0,6.0,NO
9,3,0.5,9,1,60.0,3.0,NO
9,4,0.5,9,1,164.0,13.0,NO
10,1,0.5,9,1,0.0,10.0,NO
10,2,0.5,9,1,0.0,10.0,NO
10,3,0.5,9,1,0.0,35.0,NO
10,4,0.5,9,1,0.0,65.0,NO
10,5,0.5,9,1,0.0,20.0,NO
10,6,0.5,9,1,0.0,30.0,NO
10,7,0.5,9,1,0.0,18.0,NO
10,8,0.5,9,1,0.0,10.0,NO
11,1,0.5,9,1,581.0,18.0,NO
11,1,0.5,9,1,1839.0,15.0,NO
12,1,0.5,9,1,1032.0,10.0,NO
13,1,1.0,9,1,3029.0,14.0,NO
13,1,1.0,9,1,8830.0,81.0,NO
14,1,3.0,9,1,6614.0,2574.0,NO
15,1,0.5,9,1,0.0,18.0,YES
22,1,0.5,9,1,580.0,16.0,YES
23,1,0.5,9,1,136.0,1.0,YES
23,1,0.5,9,1,136.0,10.0,YES
24,1,0.5,9,1,0.0,20.0,YES
25,1,0.75,9,1,1043.0,2.0,NO
31,1,2.0,9,1,10011.0,40.0,YES
32,1,10.0,9,1,61290.0,24692.0,YES
33,1,0.5,9,1,29.0,19.0,NO
33,2,0.5,9,1,33.0,16.0,NO
33,3,0.5,9,1,113.0,20.0,NO
33,4,0.5,9,1,784.0,26.0,NO
34,1,0.5,9,1,170.0,20.0,NO
35,1,0.5,9,1,0.0,21.0,NO
35,2,0.5,9,1,0.0,19.0,NO
35,3,0.5,9,1,0.0,30.0,NO
36,1,3.0,9,1,6614.0,2574.0,NO
72,1,0.5,9,1,482.0,30.0,YES
72,2,0.5,9,1,972.0,0.0,YES
72,3,0.5,9,1,1159.0,27.0,YES
72,4,0.5,9,1,1952.0,15.0,YES
72,5,0.5,9,1,2085.0,24.0,YES
72,6,0.5,9,1,3627.0,21.0,YES
72,7,0.5,9,1,3828.0,18.0,YES
72,8,0.5,9,1,3838.0,25.0,YES
72,9,0.5,9,1,3883.0,22.0,YES
72,10,0.5,9,1,4373.0,26.0,YES
73,1,0.5,9,1,0.0,28.0,YES
73,2,0.5,9,1,987.0,0.0,YES
73,3,0.5,9,1,3125.0,14.0,YES
74,1,0.5,9,1,1420.0,9.0,YES
74,2,0.5,9,1,1653.0,3.0,YES
74,3,0.5,9,1,6386.0,18.0,YES
75,1,0.5,9,1,0.0,30.0,YES
75,2,0.5,9,1,6.0,15.0,YES
75,3,0.5,9,1,163.0,4.0,YES
75,4,0.5,9,1,169.0,19.0,YES
75,5,0.5,9,1,420.0,14.0,YES
75,6,0.5,9,1,460.0,15.0,YES
75,7,0.5,9,1,492.0,22.0,YES
75,8,0.5,9,1,497.0,26.0,YES
75,9,0.5,9,1,503.0,18.0,YES
75,10,0.5,9,1,581.0,25.0,YES
75,11,0.5,9,1,608.0,18.0,YES
75,12,0.5,9,1,619.0,4.0,YES
75,13,0.5,9,1,629.0,10.0,YES
75,14,0.5,9,1,643.0,6.0,YES
75,15,0.5,9,1,660.0,18.0,YES
75,16,0.5,9,1,661.0,25.0,YES
75,17,0.5,9,1,689.0,20.0,YES
75,18,0.5,9,1,699.0,10.0,YES
75,19,0.5,9,1,702.0,17.0,YES
75,20,0.5,9,1,711.0,20.0,YES
75,21,0.5,9,1,733.0,30.0,YES
75,22,0.5,9,1,755.0,27.0,YES
75,23,0.5,9,1,769.0,22.0,YES
75,24,0.5,9,1,810.0,18.0,YES
75,25,0.5,9,1,837.0,21.0,YES
75,26,0.5,9,1,978.0,26.0,YES
75,27,0.5,9,1,1172.0,19.0,YES
75,28,0.5,9,1,1183.0,21.0,YES
75,29,0.5,9,1,1248.0,28.0,YES
75,30,0.5,9,1,1481.0,32.0,YES
75,31,0.5,9,1,1595.0,30.0,YES
75,32,0.5,9,1,1720.0,15.0,YES
75,33,0.5,9,1,1898.0,32.0,YES
75,34,0.5,9,1,2182.0,26.0,YES
76,1,0.5,9,1,113.0,0.0,YES
76,2,0.5,9,1,321.0,30.0,YES
76,3,0.5,9,1,441.0,20.0,YES
